age_midpt,age_cat,sex,ethnicity,highest_qualification,weekly_hrs,weekly_income
47.5,45-49,Female,Europ,OthPostSec,28,240
42.5,40-44,Female,Europ,School,38,530
47.5,45-49,Female,Maori,NoQual,40,480
47.5,45-49,Male,Europ,School,40,420
47.5,45-49,Male,Maori,NoQual,40,570
42.5,40-44,Female,Maori,School,52,850
32.5,30-34,Male,Europ,School,23,520
52.5,50-54,Female,Europ,NoQual,40,690
27.5,25-29,Female,Europ,Vocational,37,560
27.5,25-29,Male,Maori,Vocational,45,530
32.5,30-34,Male,Europ,Vocational,40,960
32.5,30-34,Female,Europ,Vocational,9,480
37.5,35-39,Female,Europ,School,38,530
62.5,60-64,Male,Europ,School,42,1980
32.5,30-34,Male,Europ,School,40,1220
47.5,45-49,Female,Europ,School,27,380
32.5,30-34,Male,Europ,Vocational,40,1490
32.5,30-34,Female,Europ,Vocational,7,430
42.5,40-44,Female,Europ,OthPostSec,25,580
27.5,25-29,Female,Europ,School,29,270
57.5,55-59,Male,Pacific,NoQual,52,640
47.5,45-49,Female,Europ,NoQual,40,630
57.5,55-59,Female,Europ,School,40,640
32.5,30-34,Male,Europ,BachDeg+,38,880
52.5,50-54,Female,Europ,Vocational,5,190
62.5,60-64,Male,Europ,OthPostSec,8,380
47.5,45-49,Female,Europ,Vocational,38,690
37.5,35-39,Male,Europ,Vocational,45,680
32.5,30-34,Male,Other,School,25,420
42.5,40-44,Female,Europ,School,27,460
32.5,30-34,Female,Maori,Vocational,14,330
42.5,40-44,Male,Europ,Vocational,48,940
32.5,30-34,Male,Europ,BachDeg+,40,600
27.5,25-29,Male,Europ,OthPostSec,43,810
32.5,30-34,Female,Europ,School,8,120
37.5,35-39,Female,NonMaoriComb,Vocational,10,460
27.5,25-29,Female,Europ,Vocational,19,200
27.5,25-29,Male,Europ,School,14,250
37.5,35-39,Male,Maori,NoQual,26,240
62.5,60-64,Male,MaoriCombin,School,76,1190
47.5,45-49,Male,Europ,BachDeg+,50,3680
37.5,35-39,Male,Europ,Vocational,32,780
62.5,60-64,Female,Europ,Vocational,11,360
27.5,25-29,Female,Europ,BachDeg+,37,1100
37.5,35-39,Male,Europ,Vocational,36,1210
57.5,55-59,Female,Pacific,Vocational,30,200
62.5,60-64,Female,Europ,OthPostSec,29,290
57.5,55-59,Male,Europ,School,39,710
47.5,45-49,Female,Europ,Vocational,30,300
57.5,55-59,Female,Europ,School,38,800
37.5,35-39,Female,Europ,School,28,380
42.5,40-44,Female,Europ,School,40,590
32.5,30-34,Female,Europ,School,35,360
42.5,40-44,Male,Maori,BachDeg+,25,1180
57.5,55-59,Male,Europ,Vocational,40,460
32.5,30-34,Female,Maori,NoQual,18,270
37.5,35-39,Male,Other,BachDeg+,56,540
32.5,30-34,Male,Europ,Vocational,43,1040
62.5,60-64,Female,Europ,NoQual,59,680
52.5,50-54,Male,Europ,Vocational,40,620
32.5,30-34,Male,Europ,BachDeg+,45,1170
27.5,25-29,Male,Europ,OthPostSec,49,830
32.5,30-34,Male,Europ,BachDeg+,40,780
32.5,30-34,Female,Europ,Vocational,40,880
52.5,50-54,Male,Other,Vocational,39,1280
57.5,55-59,Male,Europ,NoQual,29,490
27.5,25-29,Female,Other,School,27,300
32.5,30-34,Female,Europ,School,40,790
32.5,30-34,Female,Europ,Vocational,24,600
47.5,45-49,Male,Other,Vocational,28,530
62.5,60-64,Female,Europ,Vocational,31,1080
27.5,25-29,Male,Maori,Vocational,46,150
27.5,25-29,Male,Europ,School,43,570
27.5,25-29,Male,Europ,Vocational,31,1260
