strength	position
1976	1
1916	1
2090	1
2000	1
2323	1
1904	1
2048	1
2222	1
2048	1
2174	1
1976	1
2138	1
2455	1
1886	1
2246	1
2287	1
2030	1
2210	1
2084	1
2383	1
2132	1
2210	1
2222	1
1766	1
2078	1
1994	1
2198	1
2162	1
1874	1
2132	1
2108	1
1892	1
1671	1
2425	2
2000	2
2251	2
2096	2
2132	2
1964	2
1750	2
2018	2
1766	2
2228	3
2347	3
2251	3
2222	3
1940	3
1904	3
1820	3
2012	3
2204	3
2144	3
2305	3
2042	3
2120	3
2419	3
2162	3
2251	3
2222	3
2186	4
2521	4
2156	4
2216	4
2593	4
2204	4
2228	4
2198	4
2150	4
2311	4
2102	4
2138	4
1982	4
2042	4
2030	4
2216	4
2305	4
2204	4
2198	4
2204	4
2162	4
2120	4
2108	4
2030	4
2180	4
2251	4
2210	4
2216	4
2168	4
2210	4
2341	4
2000	4
2132	4
2228	5
2180	5
2114	5
2365	5
2299	5
2072	5
2323	5
2449	5
2300	5
2078	5
2150	5
2377	5
2108	5
2257	5
2383	5
2323	5
2246	5
2251	5
2156	5
2419	5
2329	5
2198	5
2269	5
2287	5
2330	5
2329	5
2228	5
2431	6
2250	6
2311	6
2210	6
2329	6
2263	6
2353	6
2251	6
2275	6
1958	6
2185	6
2287	7
2275	7
1946	7
2150	7
2228	7
1695	7
2000	7
2006	7
1945	7
2006	7
2209	7
2216	7
1934	7
1904	7
1958	7
1964	7
2066	7
2222	7
2066	7
1964	7
2150	7
2114	7
2125	7
2210	7
1588	7
2234	7
2210	7
2156	7
2204	7
1641	7
2263	7
2120	7
2156	7
